id,name,status
5020625,Borkumer Straße,
5010314,Carl-Schurz-Straße,
5010208,Germersheimer Platz,
5010313,Ackerstraße,
5010310,Eckschanze,
5010102,Goltzstraße,
5020627,Tiefwerder,
5010311,Eiswerder,
5010312,Kurstraße,
5010339,Freiheit,
5030730,Zitadellenweg,
12224229,Konradshöhe/Tegelort,
4020204,Olympiagelände,
6040701,Wannsee,
5040938,Kafkastraße,
5040936,Jägerallee,
5040937,Kladower Damm,
5040935,Groß-Glienicker Weg,
5020524,Weinmeisterhornweg,
6040703,Nikolassee,
5040934,Alt-Gatow,
6040702,Düppel,
5020629,Börnicker Straße,
4061757,Forst Grunewald,
6040804,Krumme Lanke,
4020208,Kranzallee,
4020206,Angerburger Allee,
6030501,Berlepschstraße,
6040805,Fischerhüttenstraße,
4020207,Flatowallee,
6030503,Zehlendorf Mitte,
6040806,Fischtal,
6030502,Zehlendorf Süd,
6030504,Teltower Damm,
6040808,Hüttenweg,
4020311,Reichsstraße,
4020209,Eichkamp,
6040807,Zehlendorf Eiche,
4041135,Hundekehle,
4041133,Güterbahnhof Grunewald,
4020312,Branitzer Platz,
4041136,Hagenplatz,
4020314,Messegelände,
4041134,Bismarckallee,
