id,name,size
12304314,Ziekowstraße/Freie Scholle,253524
12302110,Dannenwalder Weg,11664
3040508,Rosenthal,3112
12302107,Schorfheidestraße,1218
12224230,Heiligensee,470896
12302108,Märkisches Zentrum,58451
12302211,Lübarser Straße,43529
12302109,Treuenbrietzener Straße,7572
12301205,Waidmannslust,419463
12231101,Hermsdorf,733761
12302212,Rollbergesiedlung,15190
12301206,Lübars,941761
12231102,Frohnau,269499
5020521,Döberitzer Weg,13975
5020420,Werkstraße,96794
5020415,Isenburger Weg,4167
5010205,An der Tränke,19231
5020418,Spandauer Straße,15332
5010101,Hakenfelde Nord,353806
5020522,Pillnitzer Weg,725159
5020419,Magistratsweg,173169
5020416,Am Heideberg,23672
5010209,An der Kappe,135002
5010206,Gütersloher Weg,415675
5010204,Griesingerstraße,132654
5020417,Staakener Straße,102198
5020523,Maulbeerallee,135138
5010207,Darbystraße,8777
5010103,Amorbacher Weg,66159
5020626,Adamstraße,54832
5020628,Graetschelsteig,88577
5020625,Borkumer Straße,85907
5010314,Carl-Schurz-Straße,260040
5010208,Germersheimer Platz,6820
5010313,Ackerstraße,8201
5010310,Eckschanze,36363
5010102,Goltzstraße,15067
5020627,Tiefwerder,265321
5010311,Eiswerder,46231
5010312,Kurstraße,69389
5010339,Freiheit,8095
5030730,Zitadellenweg,341067
12224229,Konradshöhe/Tegelort,43956
4020204,Olympiagelände,136474
6040701,Wannsee,1624833
5040938,Kafkastraße,10652
5040936,Jägerallee,444337
5040937,Kladower Damm,187197
5040935,Groß-Glienicker Weg,462720
5020524,Weinmeisterhornweg,45005
6040703,Nikolassee,237531
5040934,Alt-Gatow,496634
6040702,Düppel,163654
5020629,Börnicker Straße,320908
4061757,Forst Grunewald,3
6040804,Krumme Lanke,435085
4020208,Kranzallee,34760
4020206,Angerburger Allee,6392
6030501,Berlepschstraße,76039
6040805,Fischerhüttenstraße,138400
4020207,Flatowallee,55066
6030503,Zehlendorf Mitte,85099
6040806,Fischtal,219578
6030502,Zehlendorf Süd,82512
6030504,Teltower Damm,417316
6040808,Hüttenweg,40297
4020311,Reichsstraße,62803
4020209,Eichkamp,52372
6040807,Zehlendorf Eiche,9038
4041135,Hundekehle,25313
4041133,Güterbahnhof Grunewald,4
4020312,Branitzer Platz,9901
4041136,Hagenplatz,15622
4020314,Messegelände,0
4041134,Bismarckallee,74130
