Schlüssel,Name,Flächengröße in m²,Bezirk,PP Durchschnitt,PP Durchschnitt min Konfidenz,PP Durchschnitt max Konfidenz,PP Straßenraum Durchschnitt,PP Straßenraum min Konfidenz,PP Straßenraum max Konfidenz,PP nicht Straßenraum Durchschnitt,PP nicht Straßenraum min Konfidenz,PP nicht Straßenraum max Konfidenz,PP in m²,PP Fläche in %,PP Fläche pro Einwohner in m²,PP mit Beschränkungen,Einwohner,Einwohner Erwachsen,Kfz,Pkw,PP pro Kfz,PP Fläche pro Kfz in m²,Grünanlagenflächen in m²,Grünanlagenflächen in %,Grünanlagenflächen pro Einwohner in m²,Spielplatzflächen in m²,Spielplatzflächen in %,Straßenverkehrsfläche in m²,Straßenverkehrsfläche in %,Anteil der PP Fläche im Straßenraum an Straßenverkehrsfläche in %
2030302,Lausitzer Platz,820862,Friedrichshain-Kreuzberg,2171,2163,2178,2171,2163,2178,0,0,0,27137.5,3.3,2.0822,76,13033,11034,3271,2584,0.7,8.3,16404,2.0,1.3,9548,1.2,228736,27.9,11.9
1011204,Leipziger Straße,763131,Mitte,2713,2676,2750,2233,2196,2270,480,480,480,33912.5,4.4,4.0517,1836,8370,7319,3615,3213,0.8,9.4,17443,2.3,2.1,5715,0.7,277786,36.4,10.0
4051550,Leon-Jessel-Platz,248213,Charlottenburg-Wilmersdorf,6200231290000,6200230,8780230,620023129000,620023,878023,0,0,0,77502891125000,31224348090.1,13681004611.6505,12,5665,4898,1978,1711,3134596203.2,39182452540.4,1096,0.4,0.2,5692,2.3,73246,29.5,10581177282.7
4030724,Lietzensee,632843,Charlottenburg-Wilmersdorf,1434,1301,1567,1434,1301,1567,0,0,0,17925,2.8,2.7337,31,6557,5823,2259,1990,0.6,7.9,100683,15.9,15.4,8638,1.4,102856,16.3,17.4
1022203,Lübecker Straße,324753,Mitte,650,639,661,650,639,661,0,0,0,8125,2.5,1.1579,16,7017,5743,1465,1251,0.4,5.5,2,0.0,0.0,1121,0.3,66120,20.4,12.3
4051447,Ludwigkirchplatz,314309,Charlottenburg-Wilmersdorf,1071,1065,1077,1071,1065,1077,0,0,0,13387.5,4.3,2.5226,58,5307,4665,1913,1708,0.6,7.0,3251,1.0,0.6,2985,0.9,76759,24.4,17.4
1022206,Lüneburger Straße,741608,Mitte,1091,1050,1132,1030,989,1071,61,61,61,13637.5,1.8,4.4552,262,3061,2672,1109,908,1.0,12.3,101147,13.6,33.0,242,0.0,211935,28.6,6.1
1011103,Lützowstraße,521712,Mitte,1133,1074,1191,933,874,991,200,200,200,14162.5,2.7,2.7656,875,5121,4447,1744,1428,0.6,8.1,19571,3.8,3.8,6424,1.2,120443,23.1,9.7
2010102,Mehringplatz,1035041,Friedrichshain-Kreuzberg,1392,1326,1457,1392,1326,1457,0,0,0,17400,1.7,1.2579,209,13833,11037,3904,3499,0.4,4.5,41058,4.0,3.0,12240,1.2,230929,22.3,7.5
2010103,Moritzplatz,795872,Friedrichshain-Kreuzberg,2096,2037,2154,2096,2037,2154,0,0,0,26200,3.3,1.7198,176,15234,12261,4012,3452,0.5,6.5,39353,4.9,2.6,4784,0.6,185377,23.3,14.1
7040401,Neu-Tempelhof,5455814,Tempelhof-Schöneberg,5416,5261,5570,5304,5149,5458,112,112,112,67700,1.2,3.8497,453,17586,14648,8467,6109,0.6,8.0,2700511,49.5,153.6,24107,0.4,520022,9.5,12.7
4051652,Nikolsburger Platz,440688,Charlottenburg-Wilmersdorf,2053,1975,2130,2053,1975,2130,0,0,0,25662.5,5.8,2.6008,64,9867,8561,3303,2841,0.6,7.8,4363,1.0,0.4,8203,1.9,122234,27.7,21.0
7010102,Nollendorfplatz,857161,Tempelhof-Schöneberg,2784260140,276026014,280726014,2784,2760,2807,260140,26014,26014,34803251750,4060293.4,2104059.7153,313,16541,14085,4356,3704,639178.2,7989727.2,4857,0.6,0.3,15103,1.8,302502,35.3,11.5
1011105,Nördlicher Landwehrkanal,933400,Mitte,1502,1502,1502,1062,1062,1062,440,440,440,18775,2.0,12.0430,1047,1559,1350,6496,6078,0.2,2.9,51563,5.5,33.1,645,0.1,240065,25.7,5.5
1011302,Oranienburger Straße,1011544,Mitte,2445,2389,2500,2445,2389,2500,0,0,0,30562.5,3.0,2.4846,2302,12301,10301,3966,3416,0.6,7.7,59118,5.8,4.8,13337,1.3,241620,23.9,12.6
2030301,Oranienplatz,480094,Friedrichshain-Kreuzberg,1520,1408,1631,1520,1408,1631,0,0,0,19000,4.0,2.1476,103,8847,7537,2230,1694,0.7,8.5,71430,14.9,8.1,11554,2.4,130255,27.1,14.6
4051653,Prager Platz,349160,Charlottenburg-Wilmersdorf,1271,1257,1285,1271,1257,1285,0,0,0,15887.5,4.6,2.2609,17,7027,6201,2106,1886,0.6,7.5,1994,0.6,0.3,3132,0.9,134732,38.6,11.8
4051446,Preußenpark,624749,Charlottenburg-Wilmersdorf,3117,3073,3160,3117,3073,3160,0,0,0,38962.5,6.2,3.5579,80,10951,9576,4221,3767,0.7,9.2,59092,9.5,5.4,4805,0.8,222349,35.6,17.5
4051549,Rathaus Wilmersdorf,667253,Charlottenburg-Wilmersdorf,1360,1164,1555,1360,1164,1555,0,0,0,17000,2.5,3.5850,40,4742,3987,1902,1481,0.7,8.9,51695,7.7,10.9,5129,0.8,152729,22.9,11.1
2020202,Rathaus Yorckstraße,390404,Friedrichshain-Kreuzberg,907,866,947,815,774,855,92,92,92,11337.5,2.9,1.8703,73,6062,5051,1673,1336,0.5,6.8,3369,0.9,0.6,1526,0.4,103469,26.5,9.8
2030401,Reichenberger Straße,931146,Friedrichshain-Kreuzberg,2072,2010,2133,2072,2010,2133,0,0,0,25900,2.8,1.7142,220,15109,12947,3462,2734,0.6,7.5,142636,15.3,9.4,22150,2.4,192856,20.7,13.4
8010301,Reuterkiez,1028470,Neukölln,4516,4516,4516,4464,4464,4464,52,52,52,56450,5.5,2.0636,455,27355,23516,5426,4339,0.8,10.4,18296,1.8,0.7,16197,1.6,301048,29.3,18.5
2040503,Richard-Sorge-Viertel,553803,Friedrichshain-Kreuzberg,2064,2061,2067,2064,2061,2067,0,0,0,25800,4.7,2.2721,123,11355,9674,2767,2371,0.7,9.3,48496,8.8,4.3,6716,1.2,158166,28.6,16.3
4030622,Richard-Wagner-Straße,549828,Charlottenburg-Wilmersdorf,2028,2006,2050,2028,2006,2050,0,0,0,25350,4.6,2.3330,39,10866,9481,3334,2805,0.6,7.6,6483,1.2,0.6,5224,1.0,154707,28.1,16.4
8010404,Rixdorf,1000490,Neukölln,3639,3607,3671,3639,3607,3671,0,0,0,45487.5,4.5,1.9655,198,23143,19627,4669,3818,0.8,9.7,13115,1.3,0.6,20972,2.1,273263,27.3,16.6
8010212,Rollberg,371051,Neukölln,1217,1102,1332,1217,1102,1332,0,0,0,15212.5,4.1,2.0566,104,7397,5909,1497,1315,0.8,10.2,26566,7.2,3.6,14277,3.8,96628,26.0,15.7
2050602,Samariterviertel,968700,Friedrichshain-Kreuzberg,3471,3461,3480,3471,3461,3480,0,0,0,43387.5,4.5,1.9686,449,22040,18632,5188,4110,0.7,8.4,34197,3.5,1.6,22001,2.3,290134,30.0,15.0
4030828,Savignyplatz,536404,Charlottenburg-Wilmersdorf,2032,1736,2328,2032,1736,2328,0,0,0,25400,4.7,2.6240,50,9680,8662,3555,3118,0.6,7.1,9598,1.8,1.0,4841,0.9,143836,26.8,17.7
4051448,Schaperstraße,589914,Charlottenburg-Wilmersdorf,23680102205626127000392627620200000,236801022056260,254001022056262503110,2368010220562612700039262762020000,23680102205626,25400102205626250311,0,0,0,2.9600127757032657e+35,5.017702200156744e+31,3.143598954655125e+31,131,9416,8366,3473,3094,6.818342126583969e+30,8.522927658229961e+31,9679,1.6,1.0,4454,0.8,234933,39.8,1.2599391212402113e+31
8010117,Schillerpromenade,500953,Neukölln,2702,2521,2882,2702,2521,2882,0,0,0,33775,6.7,2.1379,207,15798,13690,2848,2328,0.9,11.9,9784,2.0,0.6,10930,2.2,171673,34.3,19.7
4030415,Schloßgarten,1255318,Charlottenburg-Wilmersdorf,553,451,655,553,451,655,0,0,0,6912.5,0.6,2.1474,27,3219,2903,907,622,0.6,7.6,548451,43.7,170.4,539,0.0,84716,6.7,8.2
7020204,Schöneberger Insel,1289750,Tempelhof-Schöneberg,1727,1727,1727,1700,1700,1700,27,27,27,21587.5,1.7,1.7715,160,12186,10432,4678,3614,0.4,4.6,64331,5.0,5.3,18402,1.4,187992,14.6,11.3
8010118,Silbersteinstraße,856571,Neukölln,1539,1505,1573,1539,1505,1573,0,0,0,19237.5,2.2,1.5973,84,12044,10015,2102,1762,0.7,9.2,77407,9.0,6.4,5102,0.6,113606,13.3,16.9
4030621,Spreestadt,712811,Charlottenburg-Wilmersdorf,1413,1413,1413,1413,1413,1413,0,0,0,17662.5,2.5,5.2882,8,3340,2921,3861,3468,0.4,4.6,28207,4.0,8.4,3006,0.4,143332,20.1,12.3
1022201,Stephankiez,894592,Mitte,3186,3175,3197,2638,2627,2649,548,548,548,39825,4.5,3.6719,272,10846,9276,2580,2091,1.2,15.4,107825,12.1,9.9,8934,1.0,186511,20.8,17.7
